n,kappa,law,gamma,strength,replication,method,estimate
1000,1,gaussian,1.5,2.1213203435596393,45,Algorithm 1,2.1150136510040283
1000,1,gaussian,1.5,2.1213203435596393,45,BGS25,2.1175919780601946
1000,1,gaussian,1.5,2.1213203435596393,45,BGN11,2.12318720888227
1000,1,gaussian,1.5,2.1213203435596393,46,Algorithm 1,2.068221141860524
1000,1,gaussian,1.5,2.1213203435596393,46,BGS25,2.0797126079294337
1000,1,gaussian,1.5,2.1213203435596393,46,BGN11,2.081988729175373
1000,1,gaussian,1.5,2.1213203435596393,47,Algorithm 1,2.0746015979131607
1000,1,gaussian,1.5,2.1213203435596393,47,BGS25,2.1769847908644406
1000,1,gaussian,1.5,2.1213203435596393,47,BGN11,2.1773584742454513
1000,1,gaussian,1.5,2.1213203435596393,48,Algorithm 1,2.1407558972698504
1000,1,gaussian,1.5,2.1213203435596393,48,BGS25,2.143384713117592
1000,1,gaussian,1.5,2.1213203435596393,48,BGN11,2.1402524538153207
1000,1,gaussian,1.5,2.1213203435596393,49,Algorithm 1,2.1886905892237203
1000,1,gaussian,1.5,2.1213203435596393,49,BGS25,2.147582695994456
1000,1,gaussian,1.5,2.1213203435596393,49,BGN11,2.1473929691923153
1000,1,gaussian,1.5,2.1213203435596393,50,Algorithm 1,2.173592822218654
1000,1,gaussian,1.5,2.1213203435596393,50,BGS25,2.1805495582990058
1000,1,gaussian,1.5,2.1213203435596393,50,BGN11,2.1838443656565687
1000,1,gaussian,1.5,2.1213203435596393,51,Algorithm 1,1.9472884964189876
1000,1,gaussian,1.5,2.1213203435596393,51,BGS25,2.064494918965341
1000,1,gaussian,1.5,2.1213203435596393,51,BGN11,2.0685071173649954
1000,1,gaussian,1.5,2.1213203435596393,52,Algorithm 1,2.1207845650471295
1000,1,gaussian,1.5,2.1213203435596393,52,BGS25,2.1328126995513346
1000,1,gaussian,1.5,2.1213203435596393,52,BGN11,2.1321163155191125
1000,1,gaussian,1.5,2.1213203435596393,53,Algorithm 1,2.1563655276888105
1000,1,gaussian,1.5,2.1213203435596393,53,BGS25,2.134217299697618
1000,1,gaussian,1.5,2.1213203435596393,53,BGN11,2.13256748738936
1000,1,gaussian,1.5,2.1213203435596393,54,Algorithm 1,2.0710827362015563
1000,1,gaussian,1.5,2.1213203435596393,54,BGS25,2.1778612570688924
1000,1,gaussian,1.5,2.1213203435596393,54,BGN11,2.182793200474538
1000,1,gaussian,1.5,2.1213203435596393,55,Algorithm 1,2.10025049889856
1000,1,gaussian,1.5,2.1213203435596393,55,BGS25,2.135756280832199
1000,1,gaussian,1.5,2.1213203435596393,55,BGN11,2.134254978020029
1000,1,gaussian,1.5,2.1213203435596393,56,Algorithm 1,2.1467476436225392
1000,1,gaussian,1.5,2.1213203435596393,56,BGS25,2.167081594844616
1000,1,gaussian,1.5,2.1213203435596393,56,BGN11,2.1659471838329245
1000,1,gaussian,1.5,2.1213203435596393,57,Algorithm 1,2.2141058941236618
1000,1,gaussian,1.5,2.1213203435596393,57,BGS25,2.180208922068878
1000,1,gaussian,1.5,2.1213203435596393,57,BGN11,2.1814604574110006
1000,1,gaussian,1.5,2.1213203435596393,58,Algorithm 1,2.1354507386565613
1000,1,gaussian,1.5,2.1213203435596393,58,BGS25,2.1325294995820316
1000,1,gaussian,1.5,2.1213203435596393,58,BGN11,2.133788382263076
1000,1,gaussian,1.5,2.1213203435596393,59,Algorithm 1,2.1556990742158364
1000,1,gaussian,1.5,2.1213203435596393,59,BGS25,2.1588501555512507
1000,1,gaussian,1.5,2.1213203435596393,59,BGN11,2.1599659237459705
1000,1,gaussian,1.5,2.1213203435596393,60,Algorithm 1,2.0835878323759993
1000,1,gaussian,1.5,2.1213203435596393,60,BGS25,2.1325780561541787
1000,1,gaussian,1.5,2.1213203435596393,60,BGN11,2.132536001811532
1000,1,gaussian,1.5,2.1213203435596393,61,Algorithm 1,2.1074851526645926
1000,1,gaussian,1.5,2.1213203435596393,61,BGS25,2.0946087934796718
1000,1,gaussian,1.5,2.1213203435596393,61,BGN11,2.089960720783692
1000,1,gaussian,1.5,2.1213203435596393,62,Algorithm 1,2.1402626362018244
1000,1,gaussian,1.5,2.1213203435596393,62,BGS25,2.1495417697684522
1000,1,gaussian,1.5,2.1213203435596393,62,BGN11,2.148337177253542
1000,1,gaussian,1.5,2.1213203435596393,63,Algorithm 1,2.1114224369848844
1000,1,gaussian,1.5,2.1213203435596393,63,BGS25,2.174307257700046
1000,1,gaussian,1.5,2.1213203435596393,63,BGN11,2.174076375430184
1000,1,gaussian,1.5,2.1213203435596393,64,Algorithm 1,2.204853472609939
1000,1,gaussian,1.5,2.1213203435596393,64,BGS25,2.1946668556519127
1000,1,gaussian,1.5,2.1213203435596393,64,BGN11,2.195361316087689
1000,1,gaussian,1.5,2.1213203435596393,65,Algorithm 1,2.0784098491036844
1000,1,gaussian,1.5,2.1213203435596393,65,BGS25,2.1366177305039025
1000,1,gaussian,1.5,2.1213203435596393,65,BGN11,2.136173512521045
1000,1,gaussian,1.5,2.1213203435596393,66,Algorithm 1,1.9913649908920266
1000,1,gaussian,1.5,2.1213203435596393,66,BGS25,2.043081569701717
1000,1,gaussian,1.5,2.1213203435596393,66,BGN11,2.0417401885188555
1000,1,gaussian,1.5,2.1213203435596393,67,Algorithm 1,2.132714659712533
1000,1,gaussian,1.5,2.1213203435596393,67,BGS25,2.1146205036022985
1000,1,gaussian,1.5,2.1213203435596393,67,BGN11,2.1168070034876876
1000,1,gaussian,1.5,2.1213203435596393,68,Algorithm 1,2.0635504803803095
1000,1,gaussian,1.5,2.1213203435596393,68,BGS25,2.1091593323104685
1000,1,gaussian,1.5,2.1213203435596393,68,BGN11,2.113873192401953
1000,1,gaussian,1.5,2.1213203435596393,69,Algorithm 1,2.0477554506230806
1000,1,gaussian,1.5,2.1213203435596393,69,BGS25,2.066827502443431
1000,1,gaussian,1.5,2.1213203435596393,69,BGN11,2.064243381021494
1000,1,gaussian,1.5,2.1213203435596393,70,Algorithm 1,2.0875030740090086
1000,1,gaussian,1.5,2.1213203435596393,70,BGS25,2.1011966201539676
1000,1,gaussian,1.5,2.1213203435596393,70,BGN11,2.1053612657861427
1000,1,gaussian,1.5,2.1213203435596393,71,Algorithm 1,2.011460406704998
1000,1,gaussian,1.5,2.1213203435596393,71,BGS25,2.0894053578013505
1000,1,gaussian,1.5,2.1213203435596393,71,BGN11,2.0921308860670704
1000,1,gaussian,1.5,2.1213203435596393,72,Algorithm 1,2.110355312153208
