n,p,kappa,law,gamma,strength,replication,method,estimate
1000,600,1,gaussian,1.5,1.8669989318654328,59,SN13,1.8612750530028705
1000,600,1,gaussian,1.5,1.8669989318654328,59,OptShrink,1.865112115809647
1000,600,1,gaussian,1.5,1.8669989318654328,60,Algorithm 3,1.782902560124033
1000,600,1,gaussian,1.5,1.8669989318654328,60,SN13,1.8073453297468403
1000,600,1,gaussian,1.5,1.8669989318654328,60,OptShrink,1.8115014431492027
1000,600,1,gaussian,1.5,1.8669989318654328,61,Algorithm 3,1.8395754581631092
1000,600,1,gaussian,1.5,1.8669989318654328,61,SN13,1.8241589017570263
1000,600,1,gaussian,1.5,1.8669989318654328,61,OptShrink,1.8282270586351195
1000,600,1,gaussian,1.5,1.8669989318654328,62,Algorithm 3,1.8571481776592527
1000,600,1,gaussian,1.5,1.8669989318654328,62,SN13,1.879463391970311
1000,600,1,gaussian,1.5,1.8669989318654328,62,OptShrink,1.8832150231662739
1000,600,1,gaussian,1.5,1.8669989318654328,63,Algorithm 3,1.91016259971543
1000,600,1,gaussian,1.5,1.8669989318654328,63,SN13,1.8939157239659734
1000,600,1,gaussian,1.5,1.8669989318654328,63,OptShrink,1.897508997333395
1000,600,1,gaussian,1.5,1.8669989318654328,64,Algorithm 3,1.88693944388312
1000,600,1,gaussian,1.5,1.8669989318654328,64,SN13,1.8992451227455434
1000,600,1,gaussian,1.5,1.8669989318654328,64,OptShrink,1.9032599231284555
1000,600,1,gaussian,1.5,1.8669989318654328,65,Algorithm 3,1.9049130299525778
1000,600,1,gaussian,1.5,1.8669989318654328,65,SN13,1.883040222009648
1000,600,1,gaussian,1.5,1.8669989318654328,65,OptShrink,1.886791961336461
1000,600,1,gaussian,1.5,1.8669989318654328,66,Algorithm 3,1.8758164953516918
1000,600,1,gaussian,1.5,1.8669989318654328,66,SN13,1.904028455483679
1000,600,1,gaussian,1.5,1.8669989318654328,66,OptShrink,1.9082412175518466
1000,600,1,gaussian,1.5,1.8669989318654328,67,Algorithm 3,1.9097172811733414
1000,600,1,gaussian,1.5,1.8669989318654328,67,SN13,1.902634495300792
1000,600,1,gaussian,1.5,1.8669989318654328,67,OptShrink,1.905958045056482
1000,600,1,gaussian,1.5,1.8669989318654328,68,Algorithm 3,1.8995806495305856
1000,600,1,gaussian,1.5,1.8669989318654328,68,SN13,1.9118116782246344
1000,600,1,gaussian,1.5,1.8669989318654328,68,OptShrink,1.915788741415296
1000,600,1,gaussian,1.5,1.8669989318654328,69,Algorithm 3,1.8974115830946359
1000,600,1,gaussian,1.5,1.8669989318654328,69,SN13,1.8971587757612958
1000,600,1,gaussian,1.5,1.8669989318654328,69,OptShrink,1.9016294205704225
1000,600,1,gaussian,1.5,1.8669989318654328,70,Algorithm 3,1.8962482213549774
1000,600,1,gaussian,1.5,1.8669989318654328,70,SN13,1.8756563744134906
1000,600,1,gaussian,1.5,1.8669989318654328,70,OptShrink,1.8799466980814477
1000,600,1,gaussian,1.5,1.8669989318654328,71,Algorithm 3,1.8517589723686554
